"Датум","Цена на последна трансакција","Мак.","Мин.","Просечна цена","%пром.","Количина","Промет во БЕСТ во денари","Вкупен промет во денари"
"02.1.2014","99,00","","","99,00","0,00","0","0","0"
"03.1.2014","99,00","","","99,00","0,00","0","0","0"
"08.1.2014","101,00","101,00","101,00","101,00","2,02","200","20.200","20.200"
"09.1.2014","100,00","100,00","100,00","100,00","-0,99","300","30.000","30.000"
"10.1.2014","100,00","100,00","100,00","100,00","0,00","200","20.000","20.000"
"13.1.2014","100,00","","","100,00","0,00","0","0","0"
"14.1.2014","100,00","","","100,00","0,00","0","0","0"
"15.1.2014","97,00","97,00","97,00","97,00","-3,00","110","10.670","10.670"
"16.1.2014","99,00","99,00","99,00","99,00","2,06","300","29.700","29.700"
"17.1.2014","99,00","","","99,00","0,00","0","0","0"
"20.1.2014","99,00","","","99,00","0,00","0","0","0"
"21.1.2014","99,00","","","99,00","0,00","0","0","0"
"22.1.2014","99,00","","","99,00","0,00","0","0","0"
"23.1.2014","99,00","","","99,00","0,00","0","0","0"
"24.1.2014","99,00","","","99,00","0,00","0","0","0"
"27.1.2014","99,00","","","99,00","0,00","0","0","0"
"28.1.2014","101,00","101,00","101,00","101,00","2,02","2.200","222.200","222.200"
"29.1.2014","101,00","","","101,00","0,00","0","0","0"
"30.1.2014","101,00","","","101,00","0,00","0","0","0"
"31.1.2014","101,00","","","101,00","0,00","0","0","0"
"03.2.2014","101,00","","","101,00","0,00","0","0","0"
"04.2.2014","101,00","","","101,00","0,00","0","0","0"
"05.2.2014","101,00","","","101,00","0,00","0","0","0"
"06.2.2014","101,00","","","101,00","0,00","0","0","0"
"07.2.2014","101,00","","","101,00","0,00","0","0","0"
"10.2.2014","101,00","","","101,00","0,00","0","0","0"
"11.2.2014","101,00","","","101,00","0,00","0","0","0"
"12.2.2014","101,00","","","101,00","0,00","0","0","0"
"13.2.2014","101,00","","","101,00","0,00","0","0","0"
"14.2.2014","101,00","","","101,00","0,00","0","0","0"
"17.2.2014","101,00","","","101,00","0,00","0","0","0"
"18.2.2014","101,00","","","101,00","0,00","0","0","0"
"19.2.2014","101,00","","","101,00","0,00","0","0","0"
"20.2.2014","101,00","","","101,00","0,00","0","0","0"
"21.2.2014","101,00","","","101,00","0,00","0","0","0"
"24.2.2014","101,00","","","101,00","0,00","0","0","0"
"25.2.2014","101,00","","","101,00","0,00","0","0","0"
"26.2.2014","101,00","","","101,00","0,00","0","0","0"
"27.2.2014","101,00","","","101,00","0,00","0","0","0"
"28.2.2014","101,00","","","101,00","0,00","0","0","0"
"03.3.2014","101,00","","","101,00","0,00","0","0","0"
"04.3.2014","101,00","","","101,00","0,00","0","0","0"
"05.3.2014","101,00","","","101,00","0,00","0","0","0"
"06.3.2014","101,00","","","101,00","0,00","0","0","0"
"07.3.2014","101,00","","","101,00","0,00","0","0","0"
"10.3.2014","101,00","","","101,00","0,00","0","0","0"
"11.3.2014","101,00","","","101,00","0,00","0","0","0"
"12.3.2014","98,00","98,00","98,00","98,00","-2,97","100","9.800","9.800"
"13.3.2014","98,00","","","98,00","0,00","0","0","0"
"14.3.2014","98,00","","","98,00","0,00","0","0","0"
"17.3.2014","98,00","","","98,00","0,00","0","0","0"
"18.3.2014","98,00","","","98,00","0,00","0","0","0"
"19.3.2014","98,00","","","98,00","0,00","0","0","0"
"20.3.2014","98,00","","","98,00","0,00","0","0","0"
"21.3.2014","98,00","","","98,00","0,00","0","0","0"
"24.3.2014","98,00","","","98,00","0,00","0","0","0"
"25.3.2014","98,00","","","98,00","0,00","0","0","0"
"26.3.2014","98,00","","","98,00","0,00","0","0","0"
"27.3.2014","98,00","","","98,00","0,00","0","0","0"
"28.3.2014","98,00","","","98,00","0,00","0","0","0"
"31.3.2014","98,00","","","98,00","0,00","0","0","0"
"01.4.2014","98,00","","","98,00","0,00","0","0","0"
"02.4.2014","98,00","","","98,00","0,00","0","0","0"
"03.4.2014","98,00","","","98,00","0,00","0","0","0"
"04.4.2014","98,00","","","98,00","0,00","0","0","0"
"07.4.2014","98,00","","","98,00","0,00","0","0","0"
"08.4.2014","98,00","","","98,00","0,00","0","0","0"
"09.4.2014","98,00","","","98,00","0,00","0","0","0"
"10.4.2014","98,00","","","98,00","0,00","0","0","0"
"11.4.2014","98,00","","","98,00","0,00","0","0","0"
"14.4.2014","98,00","","","98,00","0,00","0","0","0"
"15.4.2014","98,00","","","98,00","0,00","0","0","0"
"16.4.2014","98,00","","","98,00","0,00","0","0","0"
"17.4.2014","98,00","","","98,00","0,00","0","0","0"
"22.4.2014","98,00","","","98,00","0,00","0","0","0"
"23.4.2014","98,00","","","98,00","0,00","0","0","0"
"24.4.2014","98,00","","","98,00","0,00","0","0","0"
"25.4.2014","93,00","93,00","93,00","93,00","-5,10","300","27.900","27.900"
"28.4.2014","93,00","","","93,00","0,00","0","0","0"
"29.4.2014","93,00","","","93,00","0,00","0","0","0"
"30.4.2014","93,00","","","93,00","0,00","0","0","0"
"02.5.2014","93,00","","","93,00","0,00","0","0","0"
"05.5.2014","93,00","93,00","93,00","93,00","0,00","200","18.600","18.600"
"06.5.2014","100,00","100,00","96,00","96,42","3,68","836","80.606","80.606"
"07.5.2014","99,00","99,00","99,00","99,00","2,68","100","9.900","9.900"
"08.5.2014","106,00","106,00","99,00","101,30","2,32","610","61.790","61.790"
"09.5.2014","106,00","","","101,30","0,00","0","0","0"
"12.5.2014","106,00","","","101,30","0,00","0","0","0"
"13.5.2014","106,00","","","101,30","0,00","0","0","0"
"14.5.2014","106,00","106,00","106,00","106,00","4,64","400","42.400","42.400"
"15.5.2014","106,00","","","106,00","0,00","0","0","0"
"16.5.2014","106,00","","","106,00","0,00","0","0","0"
"19.5.2014","106,00","","","106,00","0,00","0","0","0"
"20.5.2014","106,00","","","106,00","0,00","0","0","0"
"21.5.2014","106,00","","","106,00","0,00","0","0","0"
"22.5.2014","106,00","","","106,00","0,00","0","0","0"
"23.5.2014","106,00","","","106,00","0,00","0","0","0"
"26.5.2014","106,00","","","106,00","0,00","0","0","0"
"27.5.2014","106,00","","","106,00","0,00","0","0","0"
"28.5.2014","106,00","","","106,00","0,00","0","0","0"
"29.5.2014","106,00","","","106,00","0,00","0","0","0"
"30.5.2014","106,00","","","106,00","0,00","0","0","0"
"02.6.2014","106,00","","","106,00","0,00","0","0","0"
"03.6.2014","106,00","","","106,00","0,00","0","0","0"
"04.6.2014","106,00","","","106,00","0,00","0","0","0"
"05.6.2014","106,00","","","106,00","0,00","0","0","0"
"09.6.2014","106,00","","","106,00","0,00","0","0","0"
"10.6.2014","106,00","","","106,00","0,00","0","0","0"
"11.6.2014","106,00","","","106,00","0,00","0","0","0"
"12.6.2014","106,00","","","106,00","0,00","0","0","0"
"13.6.2014","106,00","","","106,00","0,00","0","0","0"
"16.6.2014","106,00","","","106,00","0,00","0","0","0"
"17.6.2014","106,00","","","106,00","0,00","0","0","0"
"18.6.2014","106,00","","","106,00","0,00","0","0","0"
"19.6.2014","106,00","","","106,00","0,00","0","0","0"
"20.6.2014","106,00","","","106,00","0,00","0","0","0"
"23.6.2014","106,00","","","106,00","0,00","0","0","0"
"24.6.2014","106,00","","","106,00","0,00","0","0","0"
"25.6.2014","106,00","","","106,00","0,00","0","0","0"
"26.6.2014","106,00","","","106,00","0,00","0","0","0"
"27.6.2014","106,00","","","106,00","0,00","0","0","0"
"30.6.2014","106,00","","","106,00","0,00","0","0","0"
"01.7.2014","106,00","","","106,00","0,00","0","0","0"
"02.7.2014","106,00","","","106,00","0,00","0","0","0"
"03.7.2014","106,00","","","106,00","0,00","0","0","0"
"04.7.2014","106,00","","","106,00","0,00","0","0","0"
"07.7.2014","106,00","","","106,00","0,00","0","0","0"
"08.7.2014","106,00","","","106,00","0,00","0","0","0"
"09.7.2014","106,00","","","106,00","0,00","0","0","0"
"10.7.2014","106,00","","","106,00","0,00","0","0","0"
"11.7.2014","106,00","","","106,00","0,00","0","0","0"
"14.7.2014","106,00","","","106,00","0,00","0","0","0"
"15.7.2014","106,00","","","106,00","0,00","0","0","0"
"16.7.2014","106,00","","","106,00","0,00","0","0","0"
"17.7.2014","106,00","","","106,00","0,00","0","0","0"
"18.7.2014","106,00","","","106,00","0,00","0","0","0"
"21.7.2014","106,00","","","106,00","0,00","0","0","0"
"22.7.2014","106,00","","","106,00","0,00","0","0","0"
"23.7.2014","106,00","","","106,00","0,00","0","0","0"
"24.7.2014","106,00","","","106,00","0,00","0","0","0"
"25.7.2014","106,00","","","106,00","0,00","0","0","0"
"29.7.2014","106,00","","","106,00","0,00","0","0","0"
"30.7.2014","106,00","","","106,00","0,00","0","0","0"
"31.7.2014","106,00","","","106,00","0,00","0","0","0"
"01.8.2014","106,00","","","106,00","0,00","0","0","0"
"04.8.2014","106,00","","","106,00","0,00","0","0","0"
"05.8.2014","106,00","","","106,00","0,00","0","0","0"
"06.8.2014","106,00","","","106,00","0,00","0","0","0"
"07.8.2014","106,00","","","106,00","0,00","0","0","0"
"08.8.2014","106,00","","","106,00","0,00","0","0","0"
"11.8.2014","106,00","","","106,00","0,00","0","0","0"
"12.8.2014","106,00","","","106,00","0,00","0","0","0"
"13.8.2014","106,00","","","106,00","0,00","0","0","0"
"14.8.2014","106,00","","","106,00","0,00","0","0","0"
"15.8.2014","106,00","","","106,00","0,00","0","0","0"
"18.8.2014","106,00","","","106,00","0,00","0","0","0"
"19.8.2014","106,00","","","106,00","0,00","0","0","0"
"20.8.2014","106,00","","","106,00","0,00","0","0","0"
"21.8.2014","106,00","","","106,00","0,00","0","0","0"
"22.8.2014","106,00","","","106,00","0,00","0","0","0"
"25.8.2014","106,00","","","106,00","0,00","0","0","0"
"26.8.2014","106,00","","","106,00","0,00","0","0","0"
"27.8.2014","106,00","","","106,00","0,00","0","0","0"
"29.8.2014","106,00","","","106,00","0,00","0","0","0"
"01.9.2014","96,00","96,00","96,00","96,00","-9,43","100","9.600","9.600"
"02.9.2014","94,00","94,00","94,00","94,00","-2,08","160","15.040","15.040"
"03.9.2014","94,00","","","94,00","0,00","0","0","0"
"04.9.2014","94,00","","","94,00","0,00","0","0","0"
"05.9.2014","94,00","","","94,00","0,00","0","0","0"
"09.9.2014","94,00","","","94,00","0,00","0","0","0"
"10.9.2014","94,00","","","94,00","0,00","0","0","0"
"11.9.2014","86,00","86,00","86,00","86,00","-8,51","40","3.440","3.440"
"12.9.2014","88,00","88,00","88,00","88,00","2,33","80","7.040","7.040"
"15.9.2014","88,00","","","88,00","0,00","0","0","0"
"16.9.2014","88,00","","","88,00","0,00","0","0","0"
"17.9.2014","88,00","","","88,00","0,00","0","0","0"
"18.9.2014","88,00","","","88,00","0,00","0","0","0"
"19.9.2014","88,00","","","88,00","0,00","0","0","0"
"22.9.2014","88,00","","","88,00","0,00","0","0","0"
"23.9.2014","88,00","","","88,00","0,00","0","0","0"
"24.9.2014","88,00","","","88,00","0,00","0","0","0"
"25.9.2014","88,00","","","88,00","0,00","0","0","0"
"26.9.2014","88,00","","","88,00","0,00","0","0","0"
"29.9.2014","88,00","","","88,00","0,00","0","0","0"
"30.9.2014","88,00","","","88,00","0,00","0","0","0"
"01.10.2014","88,00","","","88,00","0,00","0","0","0"
"02.10.2014","88,00","","","88,00","0,00","0","0","0"
"03.10.2014","88,00","","","88,00","0,00","0","0","0"
"06.10.2014","88,00","","","88,00","0,00","0","0","0"
"07.10.2014","88,00","","","88,00","0,00","0","0","0"
"08.10.2014","88,00","","","88,00","0,00","0","0","0"
"09.10.2014","88,00","","","88,00","0,00","0","0","0"
"10.10.2014","88,00","","","88,00","0,00","0","0","0"
"13.10.2014","88,00","","","88,00","0,00","0","0","0"
"14.10.2014","88,00","","","88,00","0,00","0","0","0"
"15.10.2014","88,00","","","88,00","0,00","0","0","0"
"16.10.2014","88,00","","","88,00","0,00","0","0","0"
"17.10.2014","88,00","","","88,00","0,00","0","0","0"
"20.10.2014","88,00","","","88,00","0,00","0","0","0"
"21.10.2014","88,00","","","88,00","0,00","0","0","0"
"22.10.2014","88,00","","","88,00","0,00","0","0","0"
"24.10.2014","88,00","","","88,00","0,00","0","0","0"
"27.10.2014","88,00","88,00","88,00","88,00","0,00","200","17.600","17.600"
"28.10.2014","87,00","87,00","87,00","87,00","-1,14","100","8.700","8.700"
"29.10.2014","87,00","","","87,00","0,00","0","0","0"
"30.10.2014","87,00","","","87,00","0,00","0","0","0"
"31.10.2014","87,00","","","87,00","0,00","0","0","0"
"03.11.2014","87,00","","","87,00","0,00","0","0","0"
"04.11.2014","84,00","84,00","84,00","84,00","-3,45","200","16.800","16.800"
"05.11.2014","84,00","84,00","84,00","84,00","0,00","66","5.544","5.544"
"06.11.2014","84,00","","","84,00","0,00","0","0","0"
"07.11.2014","84,00","","","84,00","0,00","0","0","0"
"10.11.2014","84,00","","","84,00","0,00","0","0","0"
"11.11.2014","84,00","","","84,00","0,00","0","0","0"
"12.11.2014","84,00","84,00","84,00","84,00","0,00","100","8.400","8.400"
"13.11.2014","84,00","","","84,00","0,00","0","0","0"
"14.11.2014","84,00","","","84,00","0,00","0","0","0"
"17.11.2014","84,00","","","84,00","0,00","0","0","0"
"18.11.2014","84,00","","","84,00","0,00","0","0","0"
"19.11.2014","84,00","","","84,00","0,00","0","0","0"
"20.11.2014","84,00","","","84,00","0,00","0","0","0"
"21.11.2014","84,00","","","84,00","0,00","0","0","0"
"24.11.2014","84,00","","","84,00","0,00","0","0","0"
"25.11.2014","84,00","","","84,00","0,00","0","0","0"
"26.11.2014","84,00","","","84,00","0,00","0","0","0"
"27.11.2014","84,00","","","84,00","0,00","0","0","0"
"28.11.2014","84,00","","","84,00","0,00","0","0","0"
"01.12.2014","84,00","","","84,00","0,00","0","0","0"
"02.12.2014","84,00","","","84,00","0,00","0","0","0"
"04.12.2014","84,00","","","84,00","0,00","0","0","0"
"05.12.2014","84,00","","","84,00","0,00","0","0","0"
"09.12.2014","84,00","","","84,00","0,00","0","0","0"
"10.12.2014","84,00","","","84,00","0,00","0","0","0"
"11.12.2014","86,00","86,00","86,00","86,00","2,38","200","17.200","17.200"
"12.12.2014","86,00","","","86,00","0,00","0","0","0"
"15.12.2014","86,00","","","86,00","0,00","0","0","0"
"16.12.2014","86,00","","","86,00","0,00","0","0","0"
"17.12.2014","86,00","","","86,00","0,00","0","0","0"
"18.12.2014","86,00","","","86,00","0,00","0","0","0"
"19.12.2014","86,00","","","86,00","0,00","0","0","0"
"22.12.2014","86,00","","","86,00","0,00","0","0","0"
"23.12.2014","86,00","86,00","86,00","86,00","0,00","62","5.332","5.332"
"24.12.2014","86,00","","","86,00","0,00","0","0","0"
"25.12.2014","86,00","","","86,00","0,00","0","0","0"
"26.12.2014","86,00","","","86,00","0,00","0","0","0"
"29.12.2014","86,00","","","86,00","0,00","0","0","0"
"30.12.2014","99,00","99,00","99,00","99,00","15,12","400","39.600","39.600"
"02.1.2015","99,00","","","99,00","0,00","0","0","0"
"05.1.2015","99,00","","","99,00","0,00","0","0","0"
"08.1.2015","99,00","","","99,00","0,00","0","0","0"
"09.1.2015","99,00","","","99,00","0,00","0","0","0"
"12.1.2015","99,00","","","99,00","0,00","0","0","0"
"13.1.2015","99,00","","","99,00","0,00","0","0","0"
"14.1.2015","99,00","","","99,00","0,00","0","0","0"
"15.1.2015","99,00","","","99,00","0,00","0","0","0"
"16.1.2015","99,00","","","99,00","0,00","0","0","0"
"20.1.2015","99,00","","","99,00","0,00","0","0","0"
"21.1.2015","99,00","","","99,00","0,00","0","0","0"
"22.1.2015","99,00","","","99,00","0,00","0","0","0"
"23.1.2015","99,00","","","99,00","0,00","0","0","0"
"26.1.2015","99,00","","","99,00","0,00","0","0","0"
"27.1.2015","87,00","87,00","87,00","87,00","-12,12","15","1.305","1.305"
"28.1.2015","87,00","","","87,00","0,00","0","0","0"
"29.1.2015","87,00","","","87,00","0,00","0","0","0"
"30.1.2015","87,00","87,00","87,00","87,00","0,00","2.480","215.760","215.760"
"02.2.2015","87,00","","","87,00","0,00","0","0","0"
"03.2.2015","87,00","","","87,00","0,00","0","0","0"
"04.2.2015","87,00","","","87,00","0,00","0","0","0"
"05.2.2015","87,00","","","87,00","0,00","0","0","0"
"06.2.2015","80,00","80,00","80,00","80,00","-8,05","20","1.600","1.600"
"09.2.2015","80,00","","","80,00","0,00","0","0","0"
"10.2.2015","80,00","","","80,00","0,00","0","0","0"
"11.2.2015","80,00","","","80,00","0,00","0","0","0"
"12.2.2015","80,00","","","80,00","0,00","0","0","0"
"13.2.2015","80,00","","","80,00","0,00","0","0","0"
"16.2.2015","80,00","","","80,00","0,00","0","0","0"
"17.2.2015","80,00","","","80,00","0,00","0","0","0"
"18.2.2015","80,00","","","80,00","0,00","0","0","0"
"19.2.2015","80,00","","","80,00","0,00","0","0","0"
"20.2.2015","80,00","","","80,00","0,00","0","0","0"
"23.2.2015","80,00","","","80,00","0,00","0","0","0"
"24.2.2015","80,00","","","80,00","0,00","0","0","0"
"25.2.2015","80,00","","","80,00","0,00","0","0","0"
"26.2.2015","80,00","","","80,00","0,00","0","0","0"
"27.2.2015","80,00","","","80,00","0,00","0","0","0"
"02.3.2015","80,00","","","80,00","0,00","0","0","0"
"03.3.2015","80,00","","","80,00","0,00","0","0","0"
"04.3.2015","80,00","","","80,00","0,00","0","0","0"
"05.3.2015","80,00","","","80,00","0,00","0","0","0"
"06.3.2015","80,00","","","80,00","0,00","0","0","0"
"09.3.2015","80,00","","","80,00","0,00","0","0","0"
"10.3.2015","80,00","","","80,00","0,00","0","0","0"
"11.3.2015","80,00","","","80,00","0,00","0","0","0"
"12.3.2015","80,00","","","80,00","0,00","0","0","0"
"13.3.2015","80,00","","","80,00","0,00","0","0","0"
"16.3.2015","80,00","","","80,00","0,00","0","0","0"
"17.3.2015","80,00","","","80,00","0,00","0","0","0"
"18.3.2015","82,00","82,00","82,00","82,00","2,50","200","16.400","16.400"
"19.3.2015","82,00","","","82,00","0,00","0","0","0"
"20.3.2015","82,00","","","82,00","0,00","0","0","0"
"23.3.2015","82,00","","","82,00","0,00","0","0","0"
"24.3.2015","82,00","","","82,00","0,00","0","0","0"
"25.3.2015","82,00","","","82,00","0,00","0","0","0"
"26.3.2015","82,00","","","82,00","0,00","0","0","0"
"27.3.2015","82,00","","","82,00","0,00","0","0","0"
"30.3.2015","82,00","","","82,00","0,00","0","0","0"
"31.3.2015","82,00","","","82,00","0,00","0","0","0"
"01.4.2015","82,00","","","82,00","0,00","0","0","0"
"02.4.2015","82,00","","","82,00","0,00","0","0","0"
"03.4.2015","82,00","","","82,00","0,00","0","0","0"
"06.4.2015","82,00","","","82,00","0,00","0","0","0"
"07.4.2015","82,00","","","82,00","0,00","0","0","0"
"08.4.2015","82,00","","","82,00","0,00","0","0","0"
"09.4.2015","82,00","","","82,00","0,00","0","0","0"
"14.4.2015","82,00","","","82,00","0,00","0","0","0"
"15.4.2015","82,00","","","82,00","0,00","0","0","0"
"16.4.2015","82,00","","","82,00","0,00","0","0","0"
"17.4.2015","82,00","","","82,00","0,00","0","0","0"
"20.4.2015","82,00","","","82,00","0,00","0","0","0"
"21.4.2015","82,00","","","82,00","0,00","0","0","0"
"22.4.2015","82,00","","","82,00","0,00","0","0","0"
"23.4.2015","82,00","","","82,00","0,00","0","0","0"
"24.4.2015","82,00","","","82,00","0,00","0","0","0"
"27.4.2015","82,00","","","82,00","0,00","0","0","0"
"28.4.2015","80,00","80,00","80,00","80,00","-2,44","90","7.200","7.200"
"29.4.2015","80,00","","","80,00","0,00","0","0","0"
"30.4.2015","80,00","","","80,00","0,00","0","0","0"
"04.5.2015","80,00","","","80,00","0,00","0","0","0"
"05.5.2015","80,00","","","80,00","0,00","0","0","0"
"06.5.2015","80,00","","","80,00","0,00","0","0","0"
"07.5.2015","80,00","","","80,00","0,00","0","0","0"
"08.5.2015","80,00","","","80,00","0,00","0","0","0"
"11.5.2015","80,00","","","80,00","0,00","0","0","0"
"12.5.2015","80,00","","","80,00","0,00","0","0","0"
"13.5.2015","80,00","","","80,00","0,00","0","0","0"
"14.5.2015","80,00","","","80,00","0,00","0","0","0"
"15.5.2015","80,00","","","80,00","0,00","0","0","0"
"18.5.2015","80,00","","","80,00","0,00","0","0","0"
"19.5.2015","80,00","","","80,00","0,00","0","0","0"
"20.5.2015","80,00","","","80,00","0,00","0","0","0"
"21.5.2015","80,00","","","80,00","0,00","0","0","0"
"22.5.2015","80,00","","","80,00","0,00","0","0","0"
"26.5.2015","80,00","","","80,00","0,00","0","0","0"
"27.5.2015","80,00","","","80,00","0,00","0","0","0"
"28.5.2015","80,00","","","80,00","0,00","0","0","0"
"01.6.2015","80,00","","","80,00","0,00","0","0","0"
"02.6.2015","80,00","","","80,00","0,00","0","0","0"
"03.6.2015","80,00","","","80,00","0,00","0","0","0"
"04.6.2015","80,00","","","80,00","0,00","0","0","0"
"05.6.2015","80,00","","","80,00","0,00","0","0","0"
"08.6.2015","80,00","","","80,00","0,00","0","0","0"
"09.6.2015","100,00","100,00","100,00","100,00","25,00","300","30.000","30.000"
"10.6.2015","100,00","","","100,00","0,00","0","0","0"
"11.6.2015","100,00","","","100,00","0,00","0","0","0"
"12.6.2015","100,00","","","100,00","0,00","0","0","0"
"15.6.2015","100,00","","","100,00","0,00","0","0","0"
"16.6.2015","100,00","","","100,00","0,00","0","0","0"
"17.6.2015","100,00","","","100,00","0,00","0","0","0"
"18.6.2015","100,00","","","100,00","0,00","0","0","0"
"19.6.2015","100,00","","","100,00","0,00","0","0","0"
"22.6.2015","100,00","","","100,00","0,00","0","0","0"
"23.6.2015","100,00","","","100,00","0,00","0","0","0"
"24.6.2015","100,00","","","100,00","0,00","0","0","0"
"25.6.2015","100,00","","","100,00","0,00","0","0","0"
"26.6.2015","100,00","","","100,00","0,00","0","0","0"
"29.6.2015","100,00","","","100,00","0,00","0","0","0"
"30.6.2015","100,00","","","100,00","0,00","0","0","0"
"01.7.2015","100,00","","","100,00","0,00","0","0","0"
"02.7.2015","100,00","","","100,00","0,00","0","0","0"
"03.7.2015","100,00","","","100,00","0,00","0","0","0"
"06.7.2015","100,00","","","100,00","0,00","0","0","0"
"07.7.2015","100,00","","","100,00","0,00","0","0","0"
"08.7.2015","100,00","","","100,00","0,00","0","0","0"
"09.7.2015","100,00","","","100,00","0,00","0","0","0"
"10.7.2015","100,00","","","100,00","0,00","0","0","0"
"13.7.2015","100,00","","","100,00","0,00","0","0","0"
"14.7.2015","100,00","","","100,00","0,00","0","0","0"
"15.7.2015","100,00","","","100,00","0,00","0","0","0"
"16.7.2015","100,00","","","100,00","0,00","0","0","0"
"20.7.2015","100,00","","","100,00","0,00","0","0","0"
"21.7.2015","100,00","","","100,00","0,00","0","0","0"
"22.7.2015","100,00","","","100,00","0,00","0","0","0"
"23.7.2015","100,00","","","100,00","0,00","0","0","0"
"24.7.2015","100,00","","","100,00","0,00","0","0","0"
"27.7.2015","100,00","","","100,00","0,00","0","0","0"
"28.7.2015","100,00","","","100,00","0,00","0","0","0"
"29.7.2015","100,00","","","100,00","0,00","0","0","0"
"30.7.2015","100,00","","","100,00","0,00","0","0","0"
"31.7.2015","100,00","100,00","100,00","100,00","0,00","35","3.500","3.500"
"04.8.2015","100,00","","","100,00","0,00","0","0","0"
"05.8.2015","100,00","","","100,00","0,00","0","0","0"
"06.8.2015","100,00","","","100,00","0,00","0","0","0"
"07.8.2015","100,00","","","100,00","0,00","0","0","0"
"10.8.2015","100,00","","","100,00","0,00","0","0","0"
"11.8.2015","100,00","","","100,00","0,00","0","0","0"
"12.8.2015","100,00","","","100,00","0,00","0","0","0"
"13.8.2015","100,00","","","100,00","0,00","0","0","0"
"14.8.2015","100,00","","","100,00","0,00","0","0","0"
"17.8.2015","100,00","","","100,00","0,00","0","0","0"
"18.8.2015","100,00","","","100,00","0,00","0","0","0"
"19.8.2015","100,00","","","100,00","0,00","0","0","0"
"20.8.2015","100,00","","","100,00","0,00","0","0","0"
"21.8.2015","100,00","","","100,00","0,00","0","0","0"
"24.8.2015","100,00","","","100,00","0,00","0","0","0"
"25.8.2015","100,00","","","100,00","0,00","0","0","0"
"26.8.2015","100,00","","","100,00","0,00","0","0","0"
"27.8.2015","111,00","111,00","111,00","111,00","11,00","1.300","144.300","144.300"
"31.8.2015","111,00","","","111,00","0,00","0","0","0"
"01.9.2015","111,00","","","111,00","0,00","0","0","0"
"02.9.2015","111,00","","","111,00","0,00","0","0","0"
"03.9.2015","111,00","","","111,00","0,00","0","0","0"
"04.9.2015","91,00","91,00","91,00","91,00","-18,02","253","23.023","23.023"
"07.9.2015","91,00","","","91,00","0,00","0","0","0"
"09.9.2015","91,00","","","91,00","0,00","0","0","0"
"10.9.2015","91,00","","","91,00","0,00","0","0","0"
"11.9.2015","91,00","","","91,00","0,00","0","0","0"
"14.9.2015","93,00","93,00","93,00","93,00","2,20","444","41.292","41.292"
"15.9.2015","93,00","","","93,00","0,00","0","0","0"
"16.9.2015","93,00","","","93,00","0,00","0","0","0"
"17.9.2015","93,00","","","93,00","0,00","0","0","0"
"18.9.2015","93,00","","","93,00","0,00","0","0","0"
"21.9.2015","93,00","","","93,00","0,00","0","0","0"
"22.9.2015","93,00","","","93,00","0,00","0","0","0"
"23.9.2015","100,00","100,00","100,00","100,00","7,53","697","69.700","69.700"
"24.9.2015","100,00","","","100,00","0,00","0","0","0"
"25.9.2015","100,00","","","100,00","0,00","0","0","0"
"28.9.2015","103,00","103,00","103,00","103,00","3,00","22","2.266","2.266"
"29.9.2015","103,00","","","103,00","0,00","0","0","0"
"30.9.2015","103,00","","","103,00","0,00","0","0","0"
"01.10.2015","103,00","","","103,00","0,00","0","0","0"
"02.10.2015","120,00","120,00","120,00","120,00","16,50","510","61.200","61.200"
"05.10.2015","120,00","","","120,00","0,00","0","0","0"
"06.10.2015","120,00","","","120,00","0,00","0","0","0"
"07.10.2015","120,00","","","120,00","0,00","0","0","0"
"08.10.2015","120,00","","","120,00","0,00","0","0","0"
"09.10.2015","120,00","","","120,00","0,00","0","0","0"
"13.10.2015","120,00","","","120,00","0,00","0","0","0"
"14.10.2015","120,00","","","120,00","0,00","0","0","0"
"15.10.2015","120,00","","","120,00","0,00","0","0","0"
"16.10.2015","120,00","","","120,00","0,00","0","0","0"
"19.10.2015","120,00","","","120,00","0,00","0","0","0"
"20.10.2015","120,00","","","120,00","0,00","0","0","0"
"21.10.2015","120,00","","","120,00","0,00","0","0","0"
"22.10.2015","120,00","","","120,00","0,00","0","0","0"
"26.10.2015","120,00","","","120,00","0,00","0","0","0"
"27.10.2015","120,00","","","120,00","0,00","0","0","0"
"28.10.2015","120,00","","","120,00","0,00","0","0","0"
"29.10.2015","120,00","","","120,00","0,00","0","0","0"
"30.10.2015","120,00","","","120,00","0,00","0","0","0"
"02.11.2015","120,00","","","120,00","0,00","0","0","0"
"03.11.2015","120,00","","","120,00","0,00","0","0","0"
"04.11.2015","120,00","","","120,00","0,00","0","0","0"
"05.11.2015","120,00","","","120,00","0,00","0","0","0"
"06.11.2015","120,00","","","120,00","0,00","0","0","0"
"09.11.2015","120,00","","","120,00","0,00","0","0","0"
"10.11.2015","120,00","","","120,00","0,00","0","0","0"
"11.11.2015","120,00","","","120,00","0,00","0","0","0"
"12.11.2015","120,00","","","120,00","0,00","0","0","0"
"13.11.2015","120,00","","","120,00","0,00","0","0","0"
"16.11.2015","120,00","","","120,00","0,00","0","0","0"
"17.11.2015","120,00","","","120,00","0,00","0","0","0"
"18.11.2015","120,00","","","120,00","0,00","0","0","0"
"19.11.2015","120,00","","","120,00","0,00","0","0","0"
"20.11.2015","120,00","","","120,00","0,00","0","0","0"
"23.11.2015","120,00","","","120,00","0,00","0","0","0"
"24.11.2015","120,00","","","120,00","0,00","0","0","0"
